Bird.ID,Species,Species.Scientific,Nest.Type.Specific,Nest.Type,Sex,Family,Assay,Vocalizations,Songs,Hovers,Flyovers,Dives,Pecks,Attacks,Physical.Contact,Attack.Rate,Chase,Tail-flicks,Wing Waves,Copulation Attempts,Distance (raw/epochs),Mount.Sex
99,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,7,0,28,0,0,1,0,0,0,0,1,0,1,0,20,M
94,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,8,1,14,0,1,0,0,0,0,0,0,0,0,0,21.66666667,F
111,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,9,6,0,12,6,0,24,0,24,0.4,0,1,19,0,1.2,M
104,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,10,0,2,16,11,0,1,0,1,0.018181818,0,0,0,0,5.2,M
108,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,12,0,0,1,6,18,0,6,6,0.1,0,0,3,0,4.05,M
100,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,13,0,0,7,16,0,0,0,0,0,0,0,38,0,0.533333333,F
101,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,14,2,0,3,2,1,0,0,0,0,0,0,5,0,4.483333333,F
102,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,15,8,2,6,7,0,0,0,0,0,0,0,5,0,7.266666667,F
107,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,16,1,0,0,3,0,0,5,5,0.083333333,0,0,0,0,3.416666667,M
106,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,17,8,0,5,1,0,0,3,3,0.05,0,0,40,0,0.166666667,F
103,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,18,5,2,1,4,0,0,0,0,0,0,0,13,0,4.833333333,F
113,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,19,0,0,0,13,0,0,59,59,0.983333333,0,0,11,0,0.166666667,M
112,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,20,0,1,4,8,0,0,26,26,0.433333333,0,0,2,0,0.133333333,M
114,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,F,Passeridae,2,0,0,0,2,0,0,0,0,0,0,0,0,0,5.896551724,M
115,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,F,Passeridae,3,2,0,0,0,0,0,0,0,0,0,0,0,0,19.74,M
116,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,F,Passeridae,5,0,0,10,3,0,0,0,0,0,0,0,0,0,5.35,F
117,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,F,Passeridae,6,1,0,5,2,0,0,0,0,0,0,0,0,0,0.983333333,F
118,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,F,Passeridae,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0.141666667,M
119,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,F,Passeridae,9,14,0,4,0,0,0,0,0,0,0,0,0,0,0,M
120,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,F,Passeridae,10,15,0,3,9,0,0,0,0,0,0,2,0,0,2.681818182,F
121,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,F,Passeridae,13,5,0,4,4,0,0,0,0,0,0,1,0,0,6.083333333,F
122,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,1,8,0,0,2,0,0,0,0,0,0,7,2,0,4.8,M
123,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,2,9,0,3,5,0,0,0,0,0,0,2,0,0,4.283333333,M
124,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,3,3,0,0,0,0,0,0,0,0,0,0,0,0,28.66666667,M
133,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,4,2,0,1,3,0,10,0,10,0.166666667,0,0,0,5,2.225,F
125,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,5,10,0,7,0,0,0,0,0,0,0,0,0,0,5.1,F
126,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,6,2,4,15,7,0,0,0,0,0,0,0,0,0,1.366666667,F
127,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,7,25,0,0,1,0,0,0,0,0,0,3,0,0,0.108333333,M
128,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,8,1,9,0,5,0,0,0,0,0,0,4,1,0,2.483333333,F
134,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,9,11,0,4,0,0,10,1,11,0.183333333,0,4,1,1,0,M
132,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,10,6,4,3,9,0,2,2,4,0.088888889,0,8,0,4,2.177777778,F
129,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,11,0,42,0,0,0,0,0,0,0,0,2,0,0,12.8,M
130,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,12,3,33,2,13,0,0,0,0,0,0,3,0,0,2.133333333,F
131,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,13,2,6,1,2,0,0,0,0,0,0,24,0,0,8.133333333,F
135,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,1,6,0,2,7,0,0,0,0,0,0,0,0,0,14.58333333,M
